"index","start-time","end-time","event?","event-type","RxD event","TxD event","RxD data","TxD data"
"0","200.00 μs","920.00 μs","false","","","","201",""
"1","2.14 ms","2.14 ms","false","","","","0",""
"2","2.54 ms","3.14 ms","false","","","","44",""
"3","3.86 ms","4.26 ms","false","","","","16",""
"4","4.78 ms","5.48 ms","false","","","","43",""
"5","6.60 ms","6.60 ms","false","","","","0",""
"6","7.72 ms","7.72 ms","false","","","","0",""
"7","8.84 ms","8.84 ms","false","","","","0",""
"8","9.96 ms","9.96 ms","false","","","","0",""
"9","11.08 ms","11.08 ms","false","","","","0",""
"10","12.20 ms","12.20 ms","false","","","","0",""
"11","13.30 ms","13.30 ms","false","","","","0",""
"12","14.42 ms","14.42 ms","false","","","","0",""
"13","15.54 ms","15.54 ms","false","","","","0",""
"14","16.66 ms","16.66 ms","false","","","","0",""
"15","17.78 ms","17.78 ms","false","","","","0",""
"16","18.90 ms","18.90 ms","false","","","","0",""
"17","20.02 ms","20.02 ms","false","","","","0",""
"18","21.14 ms","21.14 ms","false","","","","0",""
"19","22.26 ms","22.26 ms","false","","","","0",""
"20","22.56 ms","23.26 ms","false","","","","222",""
"21","54.92 ms","55.62 ms","false","","","","201",""
"22","56.14 ms","56.84 ms","false","","","","36",""
"23","57.26 ms","57.86 ms","false","","","","44",""
"24","58.26 ms","59.08 ms","false","","","","18",""
"25","59.48 ms","60.20 ms","false","","","","43",""
"26","61.32 ms","61.32 ms","false","","","","0",""
"27","62.44 ms","62.44 ms","false","","","","0",""
"28","63.56 ms","63.56 ms","false","","","","0",""
"29","64.66 ms","64.66 ms","false","","","","0",""
"30","65.78 ms","65.78 ms","false","","","","0",""
"31","66.90 ms","66.90 ms","false","","","","0",""
"32","68.02 ms","68.02 ms","false","","","","0",""
"33","69.14 ms","69.14 ms","false","","","","0",""
"34","70.26 ms","70.26 ms","false","","","","0",""
"35","71.38 ms","71.38 ms","false","","","","0",""
